token,count
部分,5771
午安,5771
意外,5760
无论,5758
方向,5755
帅哥,5753
毛毛,5740
处,5739
历史,5737
新疆,5736
河南,5733
交流,5732
通宵,5729
溜,5727
富,5723
来自,5722
爆炸,5719
谦虚,5717
记忆,5703
这家,5701
某人,5699
哇哇,5696
郁闷,5688
骗子,5685
脑袋,5685
康复,5674
显示,5669
我妈,5668
妹纸,5660
条件,5659
面膜,5656
副,5653
我刚,5650
迷,5646
画面,5645
随意,5645
辣椒,5643
周日,5642
带来,5641
前天,5633
猴子,5633
勇敢,5631
不许,5629
怎,5628
加上,5627
天使,5627
爱好,5625
自从,5622
串,5622
军训,5621
值,5620
湖南,5619
方,5619
崩溃,5615
犯,5615
若,5593
有毒,5583
熊猫,5582
姓,5573
色,5570
梗,5569
升级,5568
歌手,5555
聊聊,5552
啤酒,5551
受伤,5550
再不,5542
模特,5540
瓜,5536
文字,5533
适应,5532
裤,5531
到时,5523
我好,5518
保证,5515
脱单,5510
码,5505
力量,5492
踢,5490
睡眠,5481
湿,5481
熊,5477
培训,5474
撕,5471
难怪,5469
慢慢来,5469
矫情,5463
代购,5458
睁,5451
辆,5429
聚会,5427
桌子,5422
冻死,5421
责任,5417
占,5405
笨,5405
壳,5399
悲,5395
淡,5391
允许,5385
以上,5384
传说,5384
路人,5382
现,5378
午饭,5373
学妹,5362
抱歉,5362
十分,5359
答应,5358
通过,5349
小姑娘,5348
公里,5347
多谢,5342
折,5340
屋,5333
至,5320
歪,5319
内容,5318
号码,5317
春节,5316
何必,5314
姨妈,5309
取消,5303
凌晨,5302
眼熟,5298
地球,5290
反而,5289
绝,5280
而是,5266
嘻嘻嘻,5263
合影,5253
借口,5247
造型,5247
满分,5247
上网,5245
抄,5244
安利,5240
教练,5238
闺蜜,5230
充满,5225
人物,5224
休,5219
接着,5218
桃花,5218
弟,5216
没事儿,5201
但愿,5199
模式,5198
夜宵,5197
本身,5190
毛线,5190
消失,5189
合,5182
及,5175
静,5172
动作,5168
天下,5167
技能,5157
餐,5152
大部分,5146
页,5145
悄悄,5143
搓,5140
晚点,5138
灵魂,5137
