token,count
正要,4814
情感,4808
愚蠢,4805
去年,4804
烂,4801
眼神,4799
祈祷,4799
剩,4798
叹息,4792
一带,4791
著名,4791
击,4791
确定,4786
顺着,4786
摇头,4786
材料,4785
大地,4784
孔子,4781
震,4770
转向,4769
师傅,4767
出版,4766
村里,4764
哲学,4754
陛下,4754
批评,4751
里边,4744
一同,4743
摆脱,4743
过分,4741
主教,4738
描写,4738
法官,4735
牙齿,4735
开心,4733
陷入,4733
法,4732
取出,4727
推开,4726
不免,4725
角色,4720
接触,4716
升,4716
妙,4715
狼,4714
蓝色,4710
眼镜,4706
文,4706
田,4702
枝,4692
矮,4691
交谈,4688
此事,4687
中央,4685
门前,4683
意大利,4681
秘书,4680
礼物,4678
具,4678
吵,4675
无聊,4674
性,4674
遭,4672
第四,4670
权利,4668
记住,4661
破坏,4655
墙壁,4651
舌头,4651
为何,4650
言语,4648
走路,4647
张无忌,4643
裹,4643
大爷,4639
以便,4638
厌恶,4638
明亮,4638
粗,4633
文明,4626
自杀,4625
悲伤,4621
折,4620
月光,4619
最终,4617
得了,4617
叔叔,4616
度过,4616
桥,4615
杂志,4610
刘,4609
探,4607
偷偷,4605
新鲜,4605
遗憾,4604
船上,4603
目标,4601
草地,4601
修,4598
手段,4595
古老,4594
平,4593
比如,4590
竟是,4590
足够,4590
乃,4588
告,4588
怀着,4587
走开,4587
邻居,4587
观众,4585
低头,4582
顿时,4582
失,4582
靠近,4581
胜,4581
房屋,4579
牌,4574
依旧,4570
此人,4567
肉体,4567
主张,4566
武器,4563
集中,4563
赶到,4560
表面,4558
树木,4557
松,4556
信任,4550
裤子,4547
叔,4547
矣,4545
专,4543
绿色,4543
欠,4542
后悔,4541
理论,4540
