音节	字数	已用位	空位	得分	音节总频	理想前k未获简码字
rv	9	7	20	96.5	825769	蕊2 蕤0
rj	8	7	20	100.0	1473903	䎃0
ns	8	8	19	100.0	1142526	
ro	8	6	21	100.0	1067937	蒻0 爇0
il	8	7	20	98.9	1752406	疮1
za	8	6	21	99.7	751288	咂0 拶0
qx	8	7	20	100.0	2119353	拤0
io	8	7	20	99.4	117736	龊0
se	8	7	20	100.0	1581058	璱0
wg	8	6	21	96.7	111622	鹟0 蓊0
zh	8	6	21	99.9	691160	牂0
sy	8	8	19	100.0	978024	
cr	8	6	21	97.5	113402	爨0 撺0
sj	7	6	21	100.0	4214794	毵0
ch	7	6	21	100.0	864396	鸧0
kx	7	6	21	99.9	427151	侉0
dv	7	6	21	99.9	16673284	怼2
lg	7	5	22	97.7	668842	楞1 塄0
zv	7	5	22	98.7	8959283	醉11
tr	7	6	21	100.0	866059	煓0
rz	7	7	20	100.0	1418798	
gy	7	7	20	100.0	174151	
sh	6	6	21	100.0	252180	
gf	6	6	21	100.0	3764170	
ce	6	6	21	100.0	1266887	
vy	6	6	21	100.0	740399	
bp	6	4	23	99.3	1666060	鳖0 蹩0
ka	6	3	24	97.3	2184934	喀5 咔0
de	6	5	22	100.0	106541569	
nh	6	6	21	100.0	95310	
hk	6	6	21	100.0	833227	
rc	6	6	21	100.0	293621	
cy	6	6	21	100.0	2252162	
uk	6	5	22	100.0	2121115	
uv	6	4	23	100.0	17734349	
lt	5	5	22	100.0	504871	
gk	5	4	23	99.8	440602	掴0
mp	5	5	22	100.0	200057	
tz	5	5	22	100.0	3098169	
aa	5	4	23	100.0	6210582	
