㑇	亻 ⺈ 彐
貘	㇒ ㇏ ㇏ ㇒ 5 ㇒ ㇒ 艹 日 大
贝	贝
贞	卜 贝
负	⺈ 贝
贡	工 贝
财	贝 1 2 3
责	龶 贝
贤	2 2 又 贝
败	贝 攵
账	贝 长
货	亻  贝
质	㇒ 3 十 贝
贩	贝 ㇒ 3 又
贪	𠆢 ㇏ 5 贝
贫	八 刀 贝
贬	贝 ㇒ ㇏ 5 4
购	贝 3 5 厶
贮	贝 宀 1
贯	6 5 2 1 贝
贰	弋 二 贝
贱	贝 戋
贲	十 艹 贝
贳	廿 6 贝
贴	贝 2 1 口
贵	口 2 1 贝
贶	贝 兄
贷	亻 弋 贝
贸	㇒ 6 ㇏ 刀 贝
费	弓 3 2 贝
贺	力 口 贝
贻	贝 厶 口
贼	贝 戈 𠂇
贽	扌 3 ㇈ ㇏ 贝
贾	覀 贝
贿	贝 𠂇 
赀	 匕 贝
赁	亻 千 1 贝
赂	贝 各
赃	贝 广 土
资	冫 ⺈ 人 贝
赅	贝 亠 6 3 人
赆	贝 尸 ㇏ 4 4
赇	贝 1 2 冫 ㇒ 4 ㇏
赈	贝 厂 二 6 ㇒ ㇏
赉	1 米 贝
赊	贝 𠆢 二 小
赋	贝 1 弋 
赌	贝 十 𠂇 日
赍	十 人 人 冖 贝
赎	贝 十 5 氵 人
赏	 口 贝
赐	贝 日 勿
赑	贝 贝 贝
赒	贝  土 口
赓	广 5 夫 贝
赔	贝 立 口
赕	贝 火 火
赖	束 ⺈ 贝
赗	贝 2 5 二 目
赘	龶 5 3 攵 贝
赙	贝 甫 寸
赚	贝 丷 1 5 1 艹 八
赛	宀 1 艹 1 八 贝
赜	匚 2 口 2 龶 贝
赝	厂 亻 亻 亠 龶 贝
赞	 儿  儿 贝
赟	文 1 弋  贝
赠	贝 丷 囗 ⺌ 日
赡	贝 ⺈ 厂 八 言
赢	亠 6 口 月 贝 几 ㇏
赣	立 日 十 夂 工 贝
赤	土 3 小
赦	土 3 小 攵
赧	土 3 小 卩 又
赪	土 3 小 2 1 贝
赫	土 3 小 土 3 小
赭	土 3 小 十 𠂇 日
走	土 龰
赳	土 2 1 3 4 6 2
赴	土 2 1 3 4 卜
赵	土 2 1 3 4 乂
赶	土 2 1 3 4 干
起	土 2 1 3 4 己
趁	土 2 1 3 4 𠆢 彡
趄	土 2 1 3 4 且
超	土 2 1 3 4 刀 口
越	土 2 1 3 4 1 6 戈
趋	土 2 1 3 4 ⺈ 彐
趑	土 2 1 3 4 冫 ⺈ 人
趔	土 2 1 3 4 歹 刂
趟	土 2 1 3 4 尚
趣	土 2 1 3 4 耳 又
趯	土 2 1 3 4 习 习 亻 亠 龶
趱	土 2 1 3 4  儿  儿 贝
足	足
趴	 八
趵	 勺
趸	1 5 3 足
趺	 夫
趼	 1 𠂇 2
趾	 
趿	 及
跂	 十 又
跃	 ㇒ 大
跄	 𠆢 ⺋
跆	 厶 口
跋	 𠂇 又 ㇏
跌	 3 夫
跎	 宀 匕
跏	 力 口
跐	  匕
跑	 3 5 巳
跖	 石
跗	 付
跚	 册
跛	 5 3 2 又
距	 匚 5 1
跞	 ㇒ 6 小
跟	 彐 6 ㇒ ㇏
跣	  儿
跤	 亠 八 乂
跨	 大 二 5
跪	 ⺈ 厂 ⺋
跬	 土 土
路	 各
跱	 土 寸
跳	 3 冫 6 ㇒ 4
践	 戋
跶	 大 辶
跷	 1 6 ㇒ 1 儿
跸	 1 6 匕 十
跹	 千 辶
跺	 几 木
跻	 文 3 2
跽	 己 心
踅	扌 斤 足
踉	 ㇏ 彐 6 ㇒ ㇏
踊	 龴 
踌	 三 3 寸
踏	 水 日
踒	 千 𠆢 女
踔	 2 1 日 十
踝	 日 木
踞	 尸 古
踟	 𠂉 大 口
踢	 日 勿
踣	 立 口
踦	 大 可
踩	 爫 木
踪	 宀 二 小
踬	 ㇒ 3 十 贝
踮	 广 2 1 口
踯	 丷 1 大 阝
踱	 广 廿 又
踵	 ㇒ 1 日 
踶	 日 1 龰
踹	 山 而
踺	 5 三 十 廴
踽	 ㇒ 口 
蹀	 廿 6 木
蹁	 户 
蹂	 予 3 木
蹄	 亠 丷 冖 巾
蹅	 木 日 1
蹇	宀 1 艹 1 八 足
蹈	 爫 臼
蹉	 丷 三 3 工
蹊	 爫 6 厶 大
蹋	 日 习 习
蹐	 冫 ㇒ 4 人 
蹑	 耳 又 又
蹒	 艹 1 冂 人 人
蹙	厂 2 二 小 戈 足
蹚	  口 土
蹜	 宀 亻 1 白
蹢	 亠 丷 冂 古
蹦	 山 月 月
蹩	丷 巾 八 攵 足
蹬	 5 ㇏ 3 3 ㇏ 1 口 丷 1
蹭	 丷 囗 ⺌ 日
蹯	 ㇒ 米 田
蹰	 厂 1 口 丷 1 寸
蹲	 丷 西 1 寸
蹴	 亠 口 小 尤
蹶	 厂 丷 1 6 2 3 ⺈ 人
蹼	 2 ⺌ 1 丷 1 夫
蹽	 大 丷 日 小
蹾	 亠 口 子 攵
蹿	 宀 八 口 口 2
躁	 口 口 口 木
躅	 罒 3 5 虫
躇	 艹 十 𠂇 日
躏	 艹 门 亻 亠 龶
躐	 巛 囗 乂 6 4 4 6 4 4 6
躔	 广 日  八 土
躜	  儿  儿 贝
躞	 言 火 火 又
身	3  1 ㇒
躬	3  1 ㇒ 5 丂
躯	3  1 ㇒ 匚 乂
躲	3  1 ㇒ 几 木
躺	3  1 ㇒ 尚
车	车
轧	 6
轨	 3 ㇈
轩	 干
轪	 大
轫	 刀 ㇏
转	 专
轭	 厂 ⺋
轮	 𠆢 匕
软	 ⺈ 人
轰	车 又 又
轱	 古
轲	 可
轳	 2 1 尸
轴	 日 2
轵	 口 八
轶	 3 夫
轷	 ㇒ 丷 1 2
轸	 𠆢 彡
轹	 ㇒ 6 小
轺	 刀 口
轻	 5 ㇏ 工
轼	 弋 工
载	十 戈 
轾	 至
轿	 ㇒ 大 3 2
辀	 舟
辁	 𠆢 王
辂	 各
较	 亠 八 乂
辄	 耳 6
辅	 甫
辆	 1 冂 人 人
辇	夫 夫 车
辈	 1 2 三 车
辉	⺌ 1 儿 冖 车
辊	 日 比
辋	 冂 丷 1 亠 6
辌	 亠 口 小
辍	 又 又 又 又
辎	 巛 田
辏	 三 人 1 大
辐	 1 口 田
辑	 口 耳
辒	 日 皿
输	 𠆢 1  刂
辔	纟 车 纟 口
辕	 土 口 3 6 ㇒ ㇏
辖	 宀 丰 口
辗	 尸 艹 1 戈
辘	 广 5 2 2 1 比
辙	 亠 厶  攵
辚	 米 夕 1 6 2
辛	辛
辜	古 辛
辞	千 口 辛
辟	尸 口 辛
辣	 束
辨	刂 八 ㇏ 3
辩	刂 八 讠
辫	刂 八 纟
辰	厂 二 6 ㇒ ㇏
辱	厂 二 戈 寸
边	力 辶
辽	了 辶
达	大 辶
辿	山 辶
迁	千 辶
迂	于 辶
迄	𠂉 ㇈ 辶
迅	6 十 辶
过	寸 辶
迈	1 5 3 辶
迎	㇒ 6 卩 辶
运	二 厶 辶
近	斤 辶
迓	1 6 2 3 辶
返	㇒ 3 又 辶
迕	𠂉 十 辶
还	不 辶
这	文 辶
进	二 3 2 辶
远	二 儿 辶
违	韦 辶
连	车 辶
迟	尸 ㇏ 辶
迢	刀 口 辶
迤	𠂉 也 辶
迥	冂 口 辶
迦	力 口 辶
迨	厶 口 辶
迩	⺈ 小 辶
迪	日 2 辶
迫	白 辶
迭	3 夫 辶
迮	𠂉 2 二 辶
述	木 ㇏ 辶
迳	5 ㇏ 工 辶
迷	米 辶
迸	丷 1 𠂇 2 辶
迹	亠 3 小 辶
迺	西 辶
追	3  辶
退	彐 6 ㇒ ㇏ 辶
送	丷 1 大 辶
适	千 口 辶
逃	3 冫 6 ㇒ 4 辶
逄	夂 1 6 2 辶
逅	㇒ 𠂉 口 辶
逆	丷 1 6 2 3 辶
选	 儿 辶
逊	子 小 辶
逋	甫 辶
逍	⺌  辶
透	禾 5 3 辶
逐	豕 辶
逑	1 2 冫 ㇒ 4 ㇏ 辶
递	弟 辶
途	𠆢 于 八 辶
逖	犭 火 辶
逗	1 口 丷 1 辶
通	龴  辶
逛	犭 王 辶
逝	扌 斤 辶
逞	口 王 辶
速	束 辶
造	 口 辶
逡	厶 八 夂 辶
逢	夂 丰 辶
逦	1   辶
逭	宀  辶
逮	5 二 2 冫 ㇒ 4 辶
逯	 2 冫 ㇒ 4 辶
逴	2 1 日 十 辶
逵	土 八 土 辶
逶	禾 女 辶
逸	⺈ 口 儿 ㇏ 辶
逻	罒 夕 辶
逼	1 口 田 辶
逾	𠆢 1  刂 辶
遁	㇒ 3 十 目 辶
遂	丷 豕 辶
遄	山 而 辶
遆	亠 丷 冖 巾 辶
遇	日  辶
遍	户  辶
遏	日 3 5 人 6 辶
遐	5 1 2 二 5 1 又 辶
遑	白 王 辶
遒	丷 西 1 辶
道	丷 1 自 辶
遗	口 2 1 贝 辶
遘	1 艹 1 冂  辶
遛	㇒ 6 ㇏ 刀 田 辶
遢	日 习 习 辶
遣	口 2 1  辶
遥	爫 𠂉 1 山 辶
遨	龶 5 3 攵 辶
遭	1 囗 艹 日 辶
遮	广 廿 灬 辶
遴	米 夕 1 6 2 辶
遵	丷 西 1 寸 辶
遹	予 3 冂 八 口 辶
遽	2 1 5 3 七 豕 辶
避	尸 口 辛 辶
邀	白 方 攵 辶
邂	⺈ 用 刀 牛 辶
邃	宀 八 丷 豕 辶
邈	㇒ ㇏ ㇏ ㇒ 5 ㇒ ㇒ 白 儿 辶
邋	巛 囗 乂 6 4 4 6 4 4 6 辶
邑	口 巴
邓	又 阝
邕	巛 口 巴
邗	干 阝
邘	于 阝
邙	亠 6 阝
邛	工 阝
邝	广 阝
邠	八 刀 阝
邡	方 阝
邢	1 𠂇 2 阝
那	5 二 3 阝
邦	三 3 阝
邨	1 6 2 6 阝
邪	1 6 2 3 阝
邬	乌 阝
邮	日 2 阝
邯	甘 阝
邰	厶 口 阝
邱	㇒ 2 工 阝
邲	㇏ 6 ㇏ 八 阝
邳	不 1 阝
邴	1 冂 人 阝
邵	刀 口 阝
邶	 1 6 阝
邸	氏 ㇏ 阝
邹	⺈ 彐 阝
邺	2 ⺌ 1 阝
邻	𠆢 ㇏ 龴 阝
邽	土 土 阝
邾	牛 𠆢 阝
邿	土 寸 阝
郁	𠂇  阝
郃	𠆢 1 口 阝
郄	乂 𠂇 厶 阝
郅	至 阝
郇	勹 日 阝
郈	㇒ 𠂉 口 阝
郊	亠 八 乂 阝
郎	㇏ 彐 6 ㇏ 阝
郏	1 丷 大 阝
郐	𠆢 二 厶 阝
郑	丷 1 大 阝
郓	冖  阝
郗	乂 𠂇 巾 阝
郚	五 口 阝
郛	爫 子 阝
郜	 口 阝
郝	土 3 小 阝
郡	5 二 3 口 阝
郢	口 王 阝
郤	谷 阝
郦	1   阝
郧	口 贝 阝
部	立 口 阝
郪	1 5 二 2 女 阝
郫	白 3 十 阝
郭	亠 口 子 阝
郯	火 火 阝
郴	木 木 阝
郸	丷 日 十 阝
都	耂 日 阝
郾	匚 日 女 阝
郿	尸 2 目 阝
鄀	艹 𠂇 口 阝
鄂	口 口 二 5 阝
鄃	𠆢 1  刂 阝
鄄	覀 土 阝
鄅	㇒ 口  阝
鄌	广 5 𰀁 口 阝
鄑	1 2 ⺌ 1 日 阝
鄗	高 阝
鄘	广 5 二  2 阝
鄙	口 十 囗 口 阝
鄚	艹 日 大 阝
鄜	广 5 2 2 1 1 6 1 6 阝
鄞	廿 口 龶 阝
鄠	 二 5 阝
鄢	1  1 5 灬 阝
鄣	立 日 十 阝
鄫	丷 囗 ⺌ 日 阝
鄯	羊 丷 1 口 阝
鄱	㇒ 米 田 阝
鄹	耳 又 ㇒ 2 ㇒ ㇒ ㇒ ㇏ 阝
酂	 儿  儿 贝 阝
酃	 口 口 口 阝
酅	山 亻 亠 龶 冂 八 口 阝
酆	山 丰 丰 1 口 丷 1 阝
酉	西 1
酊	西 1 丁
酋	丷 西 1
酌	西 1 勺
配	西 1 己
酎	西 1 寸
酏	西 1 也
酐	西 1 干
酒	氵 西 1
酗	西 1 乂 凵
酚	西 1 八 刀
酝	西 1 二 厶
酞	西 1 大 ㇏
酡	西 1 宀 匕
酢	西 1 𠂉 2 二
酣	西 1 甘
酤	西 1 古
酥	西 1 千 𠆢
酦	西 1 6 八 又
酩	西 1 夕 口
酪	西 1 各
酬	西 1 ㇏ 八 2 ㇏ 2
酮	西 1 冂 1 口
酯	西 1 匕 日
酰	西 1  儿
酱	丬 夕 西 1
酲	西 1 口 王
酴	西 1 𠆢 于 八
酵	西 1 十 𠂇 子
酶	西 1 𠂉 母
酷	西 1  口
酸	西 1 厶 八 夂
酹	西 1 爫 寸
酺	西 1 甫
酽	西 1 1 2 ⺌ 厂
酾	西 1 1  
酿	西 1 ㇏ 彐 6 ㇒ ㇏
醅	西 1 立 口
醇	西 1 亠 口 子
醉	西 1 亠 人 人 十
醋	西 1 艹 1 日
醌	西 1 日 比
醍	西 1 日 1 龰
醐	西 1 古 月
醑	西 1 5 2 1 3 4 
醒	西 1 日 3 龶
醚	西 1 米 辶
醛	西 1 艹 𠆢 王
醢	西 1 𠂇 口 皿
醨	西 1 亠 乂 6 2 冂 厶
醪	西 1 习 习 𠆢 彡
醭	西 1 2 ⺌ 1 丷 1 夫
醮	西 1 亻 亠 龶 灬
醯	西 1 亠 厶  皿
醴	西 1 囗 艹 1 口 丷 1
醵	西 1 2 1 5 3 七 豕
醺	西 1 ㇒ 1 黑
醾	西 1 麻 米
采	爫 木
釉	㇒ 米 日 2
释	㇒ 米 又 𰀁
里	日 
重	千 日 
野	日  予
量	日 1 日 
釐	未 攵 厂 日 
金	𠆢 干 丷 1
釜	八 乂 干 丷 1
鉴	2 2 𠂉 ㇏ 𠆢 干 丷 1
銎	工 几 ㇏ 𠆢 干 丷 1
銮	亠 2 2 八 𠆢 干 丷 1
鋆	土 3 5 冫 𠆢 干 丷 1
鋈	氵 ㇒ 大 𠆢 干 丷 1
錾	 斤 𠆢 干 丷 1
鍪	予 3 攵 𠆢 干 丷 1
鎏	氵 亠 厶  𠆢 干 丷 1
鏊	龶 5 3 攵 𠆢 干 丷 1
鏖	广 5 2 2 1 1 6 匕 𠆢 干 丷 1
鐾	尸 口 辛 𠆢 干 丷 1
鑫	𠆢 干 丷 1 𠆢 干 丷 1 𠆢 干 丷 1
钆	钅 6
钇	钅 ㇈
针	钅 十
钉	钅 丁
钊	钅 刂
钋	钅 卜
钌	钅 5 2
钍	钅 土
钎	钅 千
钏	钅 3 2 2
钐	钅 彡
钒	钅 几 ㇏
钓	钅 勺
钔	钅 门
钕	钅 女
钖	钅 𠃓
钗	钅 又 ㇏
钘	钅 1 𠂇 2
钙	钅 1 2 丂
钚	钅 不
钛	钅 大 ㇏
钜	钅 匚 5 1
钝	钅 1 6 2 6
钞	钅 2 八 3
钟	钅 口 2
钠	钅 冂 人
钡	钅 贝
钢	钅 冂 乂
钣	钅 ㇒ 3 又
钤	钅 𠆢 ㇏ 5
钥	钅 月
钦	钅 ⺈ 人
钧	钅 3 5 冫
钨	钅 乌
钩	钅 3 5 厶
钪	钅 亠 几
钫	钅 方
钬	钅 火
钭	钅 氵 2
钮	钅 5 
钯	钅 巴
钰	钅 玉
钱	钅 戋
钲	钅 1 
钳	钅 甘
钴	钅 古
钵	钅 木 1
钷	钅 匚 口
钹	钅 𠂇 又 ㇏
钺	钅 1 6 戈
钻	钅 2 1 口
钼	钅 目
钽	钅 日 1
钾	钅 日 2
钿	钅 田
铀	钅 日 2
铁	钅 3 夫
铂	钅 白
铃	钅 𠆢 ㇏ 龴
铄	钅 ㇒ 6 小
铅	钅 几 口
铆	钅 ㇒ 6 3 卩
铈	钅 亠 巾
铉	钅 亠 6 厶
铊	钅 宀 匕
铋	钅 ㇏ 6 ㇏ 八
铌	钅 尸 匕
铍	钅 5 3 2 又
铎	钅 又 𰀁
铏	钅 1 𠂇 2 刂
铐	钅 十 𠂇 丂
铑	钅 十 𠂇 匕
铒	钅 耳
铕	钅 𠂇 
铖	钅 成
铗	钅 1 丷 大
铘	钅 1 6 2 3 阝
铙	钅 1 6 ㇒ 1 儿
铚	钅 至
铛	钅 ⺌ 彐
铜	钅 冂 1 口
铝	钅 口 口
铞	钅 口 巾
铟	钅 囗 大
铠	钅 山 己
铡	钅 贝 刂
铢	钅 牛 𠆢
铣	钅  儿
铤	钅 千 1 廴
铥	钅 ㇒ 土 厶
铧	钅 亻  十
铨	钅 𠆢 王
铩	钅 乂 1 小
铪	钅 𠆢 1 口
铫	钅 3 冫 6 ㇒ 4
铬	钅 各
铭	钅 夕 口
铮	钅 ⺈ 5 二 2
铯	钅 ⺈ 巴
铰	钅 亠 八 乂
铱	钅 衣
铲	钅 立 3
铳	钅 亠 厶 儿
铴	钅 氵 𠃓
铵	钅 宀 女
银	钅 彐 6 ㇒ ㇏
铷	钅 女 口
铸	钅 三 3 寸
铹	钅 艹 冖 力
铺	钅 甫
铻	钅 五 口
铼	钅 1 米
铽	钅 弋 心
链	钅 车 辶
铿	钅 2 2 又 土
销	钅 ⺌ 
锁	钅 ⺌ 贝
锂	钅 日 
锃	钅 口 王
锄	钅 且 力
锅	钅 口 冂 人
锆	钅  口
锇	钅 ㇒ 扌 戈
锈	钅 千 𠆢 5 3
锉	钅 人 人 土
锊	钅 爫 寸
锋	钅 夂 丰
锌	钅 辛
锍	钅 亠 厶 
锎	钅 门 1 𠂇 2
锏	钅 门 日
锐	钅 丷 兄
锑	钅 弟
锒	钅 ㇏ 彐 6 ㇒ ㇏
锓	钅 彐 冖 又
锔	钅 尸 5 口
锕	钅 阝 可
锖	钅 龶 
锗	钅 十 𠂇 日
锘	钅 艹 𠂇 口
错	钅 艹 1 日
锚	钅 艹 田
锛	钅 大 十 𠂇 2
锜	钅 大 可
锝	钅 日 1 寸
锞	钅 日 木
锟	钅 日 比
锡	钅 日 勿
锢	钅 固
锣	钅 罒 夕
锤	钅 千 艹 二
锥	钅 亻 亠 龶
锦	钅 白 巾
锧	钅 ㇒ 3 十 贝
锨	钅 斤 ⺈ 人
锩	钅 丷 夫 ⺋
锪	钅 勿 心
锫	钅 立 口
锬	钅 火 火
锭	钅 宀 1 龰
键	钅 5 三 十 廴
锯	钅 尸 古
锰	钅 子 皿
锱	钅 巛 田
锲	钅 丰 刀 大
锳	钅 艹 2 5 大
锴	钅 1 6 匕 白
锵	钅 丬 夕 寸
锶	钅 田 心
锷	钅 口 口 二 5
锸	钅 千 臼
锹	钅 千 𠆢 火
锺	钅 ㇒ 1 日 
锻	钅 ㇒ 2 三 殳
锼	钅 臼 2 又
锽	钅 白 王
锾	钅 爫 1 𠂇 又
锿	钅 亠 口 3 6 ㇒ ㇏
镀	钅 广 廿 又
镁	钅 丷 王 大
镂	钅 米 女
镃	钅 丷 1 6 厶 6 厶
镄	钅 5 1 5 3 2 贝
镅	钅 尸 2 目
镆	钅 艹 日 大
镇	钅 真
镈	钅 甫 寸
镉	钅 1 口 冂 丷 1 2
镊	钅 耳 又 又
镋	钅  口 儿
镌	钅 亻 亠 龶 5 3
镍	钅 自 木
镎	钅 𠆢 1 口 手
镏	钅 ㇒ 6 ㇏ 刀 田
镐	钅 高
镑	钅 亠 丷 冖 方
镒	钅 丷 1 八 皿
镓	钅 宀 豕
镔	钅 宀 ㇒ 2 1 2 1 八
镕	钅 宀 谷
镖	钅 覀 二 小
镗	钅  口 土
镘	钅 日 罒 又
镚	钅 山 月 月
镛	钅 广 5 二  2
镜	钅 立 日 儿
镝	钅 亠 丷 冂 古
镞	钅 方 𠂉 𠂉 大
镠	钅 习 习 𠆢 彡
镡	钅 覀 日 十
镢	钅 厂 丷 1 6 2 3 ⺈ 人
镣	钅 大 丷 日 小
镤	钅 2 ⺌ 1 丷 1 夫
镥	钅 鱼 日
镦	钅 亠 口 子 攵
镧	钅 门 束 丷
镨	钅 丷 1 2 ⺌ 1 日
镩	钅 宀 八 口 口 2
镪	钅 5 1 5 口 虫
镫	钅 5 ㇏ 3 3 ㇏ 1 口 丷 1
镬	钅 艹 亻 亠 龶 又
镭	钅  田
镮	钅 罒 1 口 3 6 ㇒ ㇏
镯	钅 罒 3 5 虫
镰	钅 广 丷 1 5 1 艹 八
镱	钅 立 日 心
镲	钅 宀 夕 4 5 ㇏ 二 小
镳	钅 广 5 2 2 1 1 6 匕 灬
镴	钅 巛 囗 乂 6 4 4 6 4 4 6
镵	钅 ⺈ 口 1 6 匕 ⺈ 口 儿 ㇏
镶	钅 亠 口 口 1 艹 1 3 6 ㇒ ㇏
长	长
门	门
闩	门 1
闪	门 人
闫	门 三
闭	门 1 2 3
问	门 口
闯	门 马
闰	门 王
闱	门 韦
闲	门 木
闳	门 𠂇 厶
间	门 日
闵	门 文
闶	门 亠 几
闷	门 心
闸	门 日 2
闹	门 亠 巾
闺	门 土 土
闻	门 耳
闼	门 大 辶
闽	门 虫
闾	门 口 口
闿	门 山 己
阀	门 亻 戈
阁	门 各
阂	门 亠 6 3 人
阃	门 囗 木
阄	门 ⺈ 日 6
阅	门 丷 兄
阆	门 ㇏ 彐 6 ㇒ ㇏
阇	门 十 𠂇 日
阈	门 戈 口 1
阉	门 大 电
阊	门 日 日
阋	门 臼 儿
阌	门 爫 冖 又
阍	门 氏 日
阎	门 ⺈ 臼
阏	门 方 𠆢 4 4
阐	门 丷 日 十
阑	门 束 丷
阒	门 目 犬
阔	门 氵 千 口
阕	门 5 ㇏ 3 3 ㇏ 1 大
阖	门 土 厶 皿
阗	门 真
阘	门 日 习 习
阙	门 丷 1 6 2 3 ⺈ 人
阚	门 5 耳 攵
阜	3  十
队	阝 人
阡	阝 千
阪	阝 ㇒ 3 又
阮	阝 二 儿
阱	阝 二 3 2
防	阝 方
阳	阝 日
阴	阝 月
阵	阝 车
阶	阝 介
阻	阝 且
阼	阝 𠂉 2 二
阽	阝 2 1 口
阿	阝 可
陀	阝 宀 匕
陂	阝 5 3 2 又
附	阝 付
际	阝 二 小
陆	阝 二 山
陇	阝 𠂇  ㇏
陈	阝 1 6 小
陉	阝 5 ㇏ 工
陋	阝 1 冂 人 6
陌	阝 1 白
降	阝 夂 1 6 2
陎	阝 牛 𠆢
限	阝 彐 6 ㇒ ㇏
陑	阝 而
陔	阝 亠 6 3 人
陕	阝 1 丷 大
陛	阝 1 6 匕 土
陞	阝 ㇒ 𠂇 2 土
陟	阝  2 3 3
陡	阝 土 龰
院	阝 宀 二 儿
除	阝 𠆢 于 八
陧	阝 日 土
陨	阝 口 贝
险	阝 𠆢 1 ㇏ 丷 1
陪	阝 立 口
陬	阝 耳 又
陲	阝 千 艹 二
陴	阝 白 3 十
陵	阝 土 八 夂
陶	阝 3 5 𠂉 1 山
陷	阝 ⺈ 臼
隃	阝 𠆢 1  刂
隅	阝 日 
隆	阝 夂 1 3 龶
隈	阝 田 1 戈
隋	阝 𠂇 工 
隍	阝 白 王
随	阝 𠂇  辶
隐	阝 ⺈ 彐 心
隔	阝 1 口 冂 丷 1 2
隗	阝 鬼
隘	阝 丷 1 八 皿
隙	阝 2 八 日 小
障	阝 立 日 十
隧	阝 丷 豕 辶
隩	阝 3 冂 米 大
隰	阝 日 6 厶 6 厶 灬
隳	阝 𠂇 工  𠆢 2 ㇏ ㇏ ㇏
隶	5 二 氺
隹	亻 亠 龶
隺	冖 亻 亠 龶
隼	亻 亠 龶 十
隽	亻 亠 龶 5 3
难	又 亻 亠 龶
雀	小 亻 亠 龶
雁	厂 亻 亻 亠 龶
雄	𠂇 厶 亻 亠 龶
雅	1 6 2 3 亻 亠 龶
集	亻 亠 龶 木
雇	户 亻 亠 龶
雉	𠂉 大 亻 亠 龶
雊	句 亻 亠 龶
雌	 1 6 亻 亠 龶
雍	亠 6 6 3 亻 亠 龶
雎	且 亻 亠 龶
雏	⺈ 彐 亻 亠 龶
雒	各 亻 亠 龶
雕	 土 口 亻 亠 龶
雠	亻 亠 龶 讠 亻 亠 龶
雨	1 巾 4 4 4 4
雩	 二 5
雪	 彐
雯	 文
雱	 方
雳	 厂 力
零	 𠆢 ㇏ 龴
雷	 田
雹	 3 5 巳
雾	 夂 力
需	 而
霁	 文 3 2
霄	 ⺌ 
霅	 言
霆	 千 1 廴
震	 厂 二 6 ㇒ ㇏
霈	 氵 1 巾
霉	 𠂉 母
霍	 亻 亠 龶
霎	 立 女
霏	  1 2 三
霓	 臼 儿
霖	 木 木
霜	 木 目
霞	 5 1 2 二 5 1 又
霨	 尸 二 小 寸
霪	 氵 爫 千 1
霭	 讠 日 3 5 人 6
霰	 艹 1  攵
露	  各
霸	 廿 口 十 月
霹	 尸 口 辛
霾	 ㇒ ㇏ ㇏ ㇒ 5 ㇒ ㇒ 日 
青	龶 
靓	龶  见
靖	立 龶 
静	龶  ⺈ 5 二 2
靛	龶  宀 1 龰
非	 1 2 三
靠	 口  1 2 三
靡	麻  1 2 三
面	1 3 罒 二
靥	厂 犬 1 3 罒 二
革	廿 口 十
靬	廿 口 十 干
靰	廿 口 十 1 儿
靳	廿 口 十 斤
靴	廿 口 十 亻 
靶	廿 口 十 巴
靸	廿 口 十 及
靺	廿 口 十 末
靼	廿 口 十 日 1
靽	廿 口 十 丷 𰀁
靿	廿 口 十 6 厶 力
鞁	廿 口 十 5 3 2 又
鞅	廿 口 十 2 5 大
鞋	廿 口 十 土 土
鞍	廿 口 十 宀 女
鞑	廿 口 十 大 辶
鞒	廿 口 十 ㇒ 大 3 2
鞔	廿 口 十 ⺈ 口 儿
鞘	廿 口 十 ⺌ 
鞠	廿 口 十 3 5 米
鞡	廿 口 十 扌 立
鞣	廿 口 十 予 3 木
鞧	廿 口 十 丷 西 1
鞨	廿 口 十 日 3 5 人 6
鞫	廿 口 十 3 5 言
鞬	廿 口 十 5 三 十 廴
鞭	廿 口 十 亻 1 日 乂
鞮	廿 口 十 日 1 龰
鞯	廿 口 十 艹 𠂇 2 子
鞲	廿 口 十 1 艹 1 冂 
鞳	廿 口 十 艹 𠆢 1 口
鞴	廿 口 十 艹 1 3 
韂	廿 口 十 ⺈ 厂 八 言
韦	韦
韧	韦 刀 ㇏
韨	韦 𠂇 又 ㇏
韩	十 日 十 韦
韪	日 1 2 1 3 4 韦
韫	韦 日 皿
韬	韦 爫 臼
韭	 1 2 三 1
音	立 日
韵	立 日 3 5 冫
韶	立 日 刀 口
页	1 3 贝
顶	丁 1 3 贝
顷	1 6 1 3 贝
顸	干 1 3 贝
项	工 1 3 贝
顺	3 2 2 1 3 贝
须	㇒ ㇒ ㇒ 1 3 贝
顼	王 1 3 贝
顽	二 儿 1 3 贝
顾	厂 ⺋ 1 3 贝
顿	1 6 2 6 1 3 贝
颀	斤 1 3 贝
颁	八 刀 1 3 贝
颂	八 厶 1 3 贝
颃	亠 几 1 3 贝
预	予 1 3 贝
颅	卜 尸 1 3 贝
领	𠆢 ㇏ 龴 1 3 贝
颇	5 3 2 又 1 3 贝
颈	5 ㇏ 工 1 3 贝
颉	士 口 1 3 贝
颊	1 丷 大 1 3 贝
颋	千 1 廴 1 3 贝
颌	𠆢 1 口 1 3 贝
颍	匕 水 1 3 贝
颎	匕 火 1 3 贝
颏	亠 6 3 人 1 3 贝
颐	匚 2 口 2 1 3 贝
频	 2 3 3 1 3 贝
颓	禾 几 1 3 贝
颔	𠆢 ㇏ 5 口 1 3 贝
颖	匕 千 𠆢 1 3 贝
颗	日 木 1 3 贝
题	日 1 2 1 3 4 1 3 贝
颙	日  1 3 贝
颚	口 口 二 5 1 3 贝
颛	山 而 1 3 贝
颜	立 3 ㇒ ㇒ ㇒ 1 3 贝
额	宀 各 1 3 贝
颞	耳 又 又 1 3 贝
颟	艹 1 冂 人 人 1 3 贝
颠	真 1 3 贝
