词	当前码	建议码	SUBTLEX拼音	SUBTLEX词频	处理建议
朴实	pnui	puui	pu3 shi2	25	第一批；应用前抽查并按基础词表原顺序重排新码位候选
血战	xpvj	xtvj	xue4 zhan4	25	第一批；应用前抽查并按基础词表原顺序重排新码位候选
基调	jitn	jidn	ji1 diao4	24	第一批；应用前抽查并按基础词表原顺序重排新码位候选
奏乐	zzle	zzyt	zou4 yue4	24	第一批；应用前抽查并按基础词表原顺序重排新码位候选
总得	zsde	zsdw	zong3 dei3	24	第一批；应用前抽查并按基础词表原顺序重排新码位候选
懂行	dsxk	dshh	dong3 hang2	24	第一批；应用前抽查并按基础词表原顺序重排新码位候选
放血	fhxp	fhxt	fang4 xue4	24	第一批；应用前抽查并按基础词表原顺序重排新码位候选
匀称	yyig	yyif	yun2 chen4	23	第一批；应用前抽查并按基础词表原顺序重排新码位候选
血色	xpse	xtse	xue4 se4	23	第一批；应用前抽查并按基础词表原顺序重排新码位候选
了事	leui	lnui	liao3 shi4	22	第一批；应用前抽查并按基础词表原顺序重排新码位候选
转行	vrxk	vrhh	zhuan3 hang2	22	第一批；应用前抽查并按基础词表原顺序重排新码位候选
呜咽	wuyj	wuye	wu1 ye4	21	第一批；应用前抽查并按基础词表原顺序重排新码位候选
淤血	yuxp	yuxt	yu1 xue4	21	第一批；应用前抽查并按基础词表原顺序重排新码位候选
耙子	bazi	pazi	pa2 zi5	20	第一批；应用前抽查并按基础词表原顺序重排新码位候选
造血	zcxp	zcxt	zao4 xue4	20	第一批；应用前抽查并按基础词表原顺序重排新码位候选
重围	vsww	isww	chong2 wei2	20	第一批；应用前抽查并按基础词表原顺序重排新码位候选
流弹	lqtj	lqdj	liu2 dan4	19	第一批；应用前抽查并按基础词表原顺序重排新码位候选
着色	vese	vose	zhuo2 se4	19	第一批；应用前抽查并按基础词表原顺序重排新码位候选
简朴	jmpn	jmpu	jian3 pu3	19	第一批；应用前抽查并按基础词表原顺序重排新码位候选
论调	lytn	lydn	lun4 diao4	19	第一批；应用前抽查并按基础词表原顺序重排新码位候选
正传	vgir	vgvr	zheng4 zhuan4	18	第一批；应用前抽查并按基础词表原顺序重排新码位候选
茂盛	mcig	mcug	mao4 sheng4	18	第一批；应用前抽查并按基础词表原顺序重排新码位候选
血渍	xpzi	xtzi	xue4 zi4	18	第一批；应用前抽查并按基础词表原顺序重排新码位候选
还魂	hdhy	hrhy	huan2 hun2	18	第一批；应用前抽查并按基础词表原顺序重排新码位候选
