moves	hard_old	hard_new	full1500	full3500	full6000	short1500	short3500	three1500	three3500	score
亻:e>o 巾:a>l 月:w>v 田:o>y 艹:f>e	1	1	1	36	226	0	7	1324	2581	4501055
土:r>m 巾:a>l 月:w>t 田:o>n 艹:f>w	1	1	1	38	235	0	5	1339	2627	4501005
土:r>m 巾:a>l 月:w>v 田:o>n 艹:f>w	1	1	1	38	225	0	7	1341	2624	4503140
亻:e>o 巾:a>x 月:w>v 田:o>s 艹:f>e	1	1	1	38	231	0	7	1324	2583	4504145
亻:e>o 巾:a>q 月:w>v 田:o>s 艹:f>e	1	1	1	38	224	0	7	1324	2580	4504020
亻:e>o 巾:a>o 月:w>v 田:o>s 艹:f>e	1	1	1	38	228	0	8	1324	2578	4505310
土:r>q 忄:p>h 月:w>t 田:o>c 艹:f>p	1	1	1	38	228	0	9	1330	2613	4506095
土:r>v 巾:a>r 月:w>t 田:o>q 艹:f>w	1	1	1	39	231	0	7	1338	2624	4504880
亻:e>o 忄:p>h 月:w>t 田:o>s 艹:f>e	1	1	1	39	239	0	9	1320	2582	4508370
亻:e>o 忄:p>h 月:w>t 田:o>q 艹:f>e	1	1	1	39	237	0	9	1319	2579	4508385
亻:e>o 忄:p>h 月:w>v 田:o>q 艹:f>e	1	1	1	39	224	0	10	1321	2576	4509260
土:r>v 巾:a>r 月:w>t 田:o>y 艹:f>w	1	1	1	40	236	0	7	1340	2627	4506385
土:r>v 巾:a>x 月:w>t 田:o>s 艹:f>w	1	1	1	40	236	0	7	1339	2630	4506410
土:r>v 巾:a>q 月:w>t 田:o>s 艹:f>w	1	1	1	40	230	0	7	1339	2627	4506305
土:r>v 巾:a>q 月:w>t 田:o>q 艹:f>w	1	1	1	40	228	0	7	1338	2624	4506320
土:r>v 忄:p>q 月:w>t 田:o>c 艹:f>p	1	1	1	40	230	0	8	1331	2616	4507880
土:r>q 忄:p>h 月:w>t 田:o>q 艹:f>p	1	1	1	40	230	0	9	1330	2612	4509140
土:r>m 巾:a>l 月:w>t 田:o>n 艹:f>p	1	1	1	41	246	0	6	1335	2612	4507160
土:r>v 巾:a>x 月:w>t 田:o>y 艹:f>w	1	1	1	41	239	0	7	1340	2630	4507930
土:r>v 巾:a>q 月:w>t 田:o>y 艹:f>w	1	1	1	41	233	0	7	1340	2627	4507825
土:r>v 巾:a>r 月:w>t 田:o>q 艹:f>p	1	1	1	41	239	0	8	1334	2609	4509475
土:r>v 忄:p>w 月:w>t 田:o>n 艹:f>p	1	2	0	38	237	0	8	1335	2620	3004840
土:r>v 忄:p>y 月:w>t 田:o>n 艹:f>p	1	2	0	39	236	0	8	1335	2623	3006305
土:r>q 忄:p>h 月:w>v 田:o>s 艹:f>p	1	2	0	39	220	0	11	1338	2617	3009495
土:r>v 巾:a>l 月:w>t 田:o>n 艹:f>b	1	2	0	42	284	0	10	1331	2605	3014415
土:r>v 忄:p>h 月:w>t 田:o>n 艹:f>p	1	2	0	42	241	0	12	1332	2620	3015840
土:r>v 忄:p>w 月:w>v 田:o>n 艹:f>p	1	2	0	44	241	0	14	1333	2606	3021270
土:r>v 忄:p>q 月:w>v 田:o>s 艹:f>p	1	2	0	45	236	0	13	1335	2609	3021375
土:r>v 忄:p>y 月:w>v 田:o>n 艹:f>p	1	2	0	45	242	0	14	1333	2609	3022775
土:r>v 巾:a>l 月:w>v 田:o>n 艹:f>b	1	2	0	47	290	0	15	1329	2591	3028185
土:r>v 忄:p>h 月:w>v 田:o>n 艹:f>p	1	2	0	48	247	0	18	1330	2606	3032310
土:r>v 巾:a>r 月:w>t 田:o>n 艹:f>m	1	3	0	39	250	0	6	1336	2612	3504200
土:r>v 巾:a>x 月:w>t 田:o>n 艹:f>m	1	3	0	40	253	0	6	1336	2615	3505745
土:r>v 巾:a>q 月:w>t 田:o>n 艹:f>m	1	3	0	40	246	0	6	1336	2612	3505620
